commit	stage	primary_metric	status	description

smoke	candidate	0.000000	keep	smoke test candidate stage
smoke	action	0.000000	keep	smoke test action stage
working	candidate	0.6709677419354838	keep	distilbert-base-uncased 1 epoch on imported math candidate dev
working	candidate	0.0	discard	microsoft/deberta-v3-small 1 epoch on imported math candidate dev collapsed to all-O / NaN loss
working	candidate	0.6851063829787234	keep	distilbert-base-uncased 1 epoch on imported math candidate dev with fixed aligned export
working	candidate	0.05138004246284501	discard	spaCy en_core_web_sm candidate baseline on imported math dev
working	candidate	0.1479324403028538	discard	Presidio default analyzer candidate baseline on imported math dev
working	candidate	0.766595	keep	strict holdout test using frozen candidate_math_distilbert_v3 on imported math candidate test
working	candidate	0.072086	keep	strict holdout test using spaCy en_core_web_sm candidate baseline on imported math test
working	candidate	0.256944	keep	strict holdout test using Presidio default analyzer candidate baseline on imported math test
working	candidate	0.766595	keep	strict holdout test using frozen candidate_math_distilbert_v3 on imported math candidate test [20260311_014603_candidate-math-holdout]
working	candidate	0.072086	keep	strict holdout test using spaCy en_core_web_sm candidate baseline on imported math test [20260311_014603_candidate-math-holdout]
working	candidate	0.256944	keep	strict holdout test using Presidio default analyzer candidate baseline on imported math test [20260311_014603_candidate-math-holdout]
working	candidate	0.708333	keep	distilbert-base-uncased 3 epochs on imported math candidate dev with recall-first checkpoint selection
working	candidate	0.000000	crash	bert-base-uncased 1 epoch on imported math candidate dev failed because the model is not cached locally
working	candidate	0.000000	discard	microsoft/deberta-v3-small 1 epoch lr=1e-5 on imported math candidate dev collapsed to all-O predictions
working	candidate	0.684000	discard	distilbert-base-uncased context-pair checkpoint-732 on imported math candidate dev improved recall but lowered F1
working	candidate	0.784394	keep	distilbert-base-uncased 3 epochs with recall-first checkpoint selection on imported math candidate test
working	candidate	0.740286	keep	roberta-base 3 epochs with recall-first checkpoint selection on imported math candidate dev
working	candidate	0.794926	keep	roberta-base 3 epochs with recall-first checkpoint selection on imported math candidate test
working	candidate	0.740741	keep	ModernBERT-base 1 epoch with recall-first checkpoint selection on imported math candidate dev
working	candidate	0.784394	keep	strict holdout test using frozen distilbert-base-uncased-privacy-recall on imported math candidate test [20260311_124526_distilbert-base-uncased-privacy-recall-holdout]
working	candidate	0.072086	keep	strict holdout test using spaCy en_core_web_sm candidate baseline on imported math test [20260311_124526_distilbert-base-uncased-privacy-recall-holdout]
working	candidate	0.256944	keep	strict holdout test using Presidio default analyzer candidate baseline on imported math test [20260311_124526_distilbert-base-uncased-privacy-recall-holdout]
working	candidate	0.784394	keep	strict holdout test using frozen distilbert-base-uncased-privacy-recall on imported math candidate test [20260311_124827_distilbert-base-uncased-privacy-recall-holdout]
working	candidate	0.072086	keep	strict holdout test using spaCy en_core_web_sm candidate baseline on imported math test [20260311_124827_distilbert-base-uncased-privacy-recall-holdout]
working	candidate	0.256944	keep	strict holdout test using Presidio default analyzer candidate baseline on imported math test [20260311_124827_distilbert-base-uncased-privacy-recall-holdout]
working	action	0.607920	keep	distilroberta-base 3 epochs on manual action train/dev reached 0.9050 test accuracy and 1.0000 redact recall
working	action	0.591289	keep	roberta-base 3 epochs on manual action train/dev reached 0.8858 test accuracy and 1.0000 redact recall
working	action	0.611873	keep	ModernBERT-base 3 epochs on manual action train/dev reached 0.9063 test accuracy and 0.9880 redact recall
working	action	0.602606	keep	distilroberta-base v2 rerun with probability export reached 0.8986 test accuracy and 0.9940 redact recall
working	action	0.608130	keep	roberta-base v2 rerun with probability export reached 0.9037 test accuracy and 1.0000 redact recall
working	action	0.613996	keep	ModernBERT-base v2 rerun with probability export reached 0.9089 test accuracy and 1.0000 redact recall
working	action	0.773472	keep	ModernBERT-base multiclass deferral on relabeled action test reached 0.9204 accuracy and 0.7735 macro F1 with composite policy at 5.0% actual review and 35.3% gold REVIEW coverage [20260311_192955_action-deferral-modernbert-v2-final]
working	action	0.797216	keep	roberta-base multiclass deferral on relabeled action test reached 0.9243 accuracy and 0.7972 macro F1 with review_probability policy at 6.3% actual review and 45.6% gold REVIEW coverage [20260311_192955_action-deferral-roberta-base-v2-final]
working	action	0.805868	keep	distilroberta-base multiclass deferral on relabeled action test reached 0.9230 accuracy and 0.8059 macro F1 with review_probability policy at 7.1% actual review and 51.5% gold REVIEW coverage [20260311_192955_action-deferral-distilroberta-v2-final]
working	action	0.739298	keep	ModernBERT-base binary deferral baseline on relabeled action test reached 0.9127 accuracy and 0.7393 macro F1 with asymmetric_confidence policy at 4.5% actual review and 27.9% gold REVIEW coverage [20260311_192955_action-deferral-modernbert-binary-v3]
working	action	0.675908	keep	roberta-base binary deferral baseline on relabeled action test reached 0.8960 accuracy and 0.6759 macro F1 with asymmetric_confidence policy at 4.0% actual review and 14.7% gold REVIEW coverage [20260311_192955_action-deferral-roberta-base-binary-v3]
working	action	0.714637	keep	distilroberta-base binary deferral baseline on relabeled action test reached 0.9024 accuracy and 0.7146 macro F1 with asymmetric_confidence policy at 5.3% actual review and 25.0% gold REVIEW coverage [20260311_192955_action-deferral-distilroberta-binary-v3]
working	action	0.773472	keep	ModernBERT-base multiclass deferral rerun with reduced composite search and lower-review tie-break reached 0.9204 accuracy and 0.7735 macro F1 with composite policy at 5.0% actual review and 35.3% gold REVIEW coverage [20260311_193612_action-deferral-modernbert-v2-fixed]
working	action	0.797216	keep	roberta-base multiclass deferral rerun with reduced composite search and lower-review tie-break reached 0.9243 accuracy and 0.7972 macro F1 with review_probability policy at 6.3% actual review and 45.6% gold REVIEW coverage [20260311_193612_action-deferral-roberta-base-v2-fixed]
working	action	0.805868	keep	distilroberta-base multiclass deferral rerun with reduced composite search and lower-review tie-break reached 0.9230 accuracy and 0.8059 macro F1 with review_probability policy at 7.1% actual review and 51.5% gold REVIEW coverage [20260311_193612_action-deferral-distilroberta-v2-fixed]
working	action	0.739298	keep	ModernBERT-base binary deferral rerun with reduced composite search and lower-review tie-break reached 0.9127 accuracy and 0.7393 macro F1 with asymmetric_confidence policy at 4.5% actual review and 27.9% gold REVIEW coverage [20260311_193612_action-deferral-modernbert-binary-v3-fixed]
working	action	0.675908	keep	roberta-base binary deferral rerun with reduced composite search and lower-review tie-break reached 0.8960 accuracy and 0.6759 macro F1 with asymmetric_confidence policy at 4.0% actual review and 14.7% gold REVIEW coverage [20260311_193612_action-deferral-roberta-base-binary-v3-fixed]
working	action	0.714637	keep	distilroberta-base binary deferral rerun with reduced composite search and lower-review tie-break reached 0.9024 accuracy and 0.7146 macro F1 with asymmetric_confidence policy at 5.3% actual review and 25.0% gold REVIEW coverage [20260311_193612_action-deferral-distilroberta-binary-v3-fixed]
working	action	0.051037	discard	distilroberta-base zero-shot multiclass deferral on UPChieve English/Social pilot collapsed toward REDACT and reached 0.0800 accuracy and 0.0510 macro F1 at 4.0% actual review with 0.0% gold REVIEW coverage [20260313_154629_upchieve-english-social-zero-shot-distilroberta]
working	action	0.061202	discard	roberta-base zero-shot multiclass deferral on UPChieve English/Social pilot remained REDACT-heavy and reached 0.0900 accuracy and 0.0612 macro F1 at 4.0% actual review with 0.0% gold REVIEW coverage [20260313_154907_upchieve-english-social-zero-shot-roberta-base]
working	action	0.153132	discard	ModernBERT-base zero-shot multiclass deferral on UPChieve English/Social pilot improved over the other zero-shot baselines but still over-redacted curricular rows, reaching 0.1850 accuracy and 0.1531 macro F1 at 1.0% actual review with 3.6% gold REVIEW coverage [20260313_154943_upchieve-english-social-zero-shot-modernbert]
working	action	0.000000	crash	ModernBERT-base mixed-context v1 on math plus UPChieve train ran out of MPS memory with batch_size=8 and max_length=512 before completing training
working	action	0.000000	crash	ModernBERT-base mixed-context v1 on math plus UPChieve train ran out of MPS memory with batch_size=4 and max_length=512 during epoch 2 after dev macro F1 reached 0.4664
working	action	0.000000	crash	roberta-base fresh mixed-context v1 could not start because the base checkpoint was not cached locally in the offline environment
working	action	0.542903	keep	ModernBERT-base mixed-context v1 on math plus UPChieve reached 0.7550 pilot accuracy and 0.5429 macro F1 at 12.0% actual review with 25.0% gold REVIEW coverage; legacy math redact recall stayed 1.0000 [20260314_193748_upchieve-english-social-mixed-modernbert-v1-b4-l384]
working	action	0.488231	discard	roberta-base mixed-context adaptation from the local math checkpoint reached 0.7200 pilot accuracy and 0.4882 macro F1 at 8.5% actual review but legacy math redact recall fell to 0.9880 [20260314_193820_upchieve-english-social-mixed-roberta-base-v1-from-math-b4-l384]
working	action	0.516396	keep	distilroberta-base mixed-context adaptation from the local math checkpoint reached 0.7850 pilot accuracy and 0.5164 macro F1 at 5.0% actual review with 10.7% gold REVIEW coverage; legacy math redact recall stayed 1.0000 [20260314_193849_upchieve-english-social-mixed-distilroberta-v1-from-math-b4-l384]
working	action	0.564724	discard	roberta-base fresh mixed-context retrain from the repo-local base copy reached 0.7800 pilot accuracy and 0.5647 macro F1 at 14.0% actual review with 39.3% gold REVIEW coverage but legacy math redact recall fell to 0.9699 [20260314_201224_upchieve-english-social-mixed-roberta-base-v1-b4-l384-fresh]
working	action	0.511994	keep	distilroberta-base fresh mixed-context retrain from the repo-local base copy reached 0.7250 pilot accuracy and 0.5120 macro F1 at 14.5% actual review with 17.9% gold REVIEW coverage; legacy math redact recall stayed 0.9940 [20260314_201314_upchieve-english-social-mixed-distilroberta-v1-b4-l384-fresh]
working	action	0.587178	keep	ModernBERT-base mixed-context v2 on math plus UPChieve train_v1_v2 reached 0.7950 pilot accuracy and 0.5872 macro F1 at 11.5% actual review with 28.6% gold REVIEW coverage; legacy math redact recall stayed 1.0000 [20260314_224940_upchieve-english-social-mixed-modernbert-v2-b4-l384]
working	action	0.409046	discard	roberta-base fresh mixed-context v2 on math plus UPChieve train_v1_v2 restored legacy math redact recall to 1.0000 but pilot macro F1 fell to 0.4090 at 8.5% actual review with 7.1% gold REVIEW coverage [20260314_225018_upchieve-english-social-mixed-roberta-base-v2-b4-l384-fresh]
working	action	0.470850	keep	distilroberta-base fresh mixed-context v2 on math plus UPChieve train_v1_v2 kept legacy math redact recall at 1.0000 but pilot macro F1 fell to 0.4708 at 9.0% actual review with 14.3% gold REVIEW coverage [20260314_225845_upchieve-english-social-mixed-distilroberta-v2-b4-l384-fresh]
working	action	0.506190	discard	Cornell-gateway openai.gpt-4.1 dev-only ceiling on frozen UPChieve English/Social dev reached 0.6750 accuracy and 0.5062 macro F1 with 15.0% predicted REVIEW, below the ModernBERT v2 selected 10% dev baseline of 0.5357 [20260314_235205_upchieve-llm-ceiling]
working	action	0.527291	discard	Cornell-gateway openai.gpt-5.2 with high reasoning on frozen UPChieve English/Social dev reached 0.7200 accuracy and 0.5273 macro F1 with 11.5% predicted REVIEW, but still stayed below the ModernBERT v2 selected 10% dev baseline of 0.5357 [20260315_002603_upchieve-llm-ceiling-openai-gpt-5-2]
working	action	0.425752	discard	Cornell-gateway anthropic.claude-4.6-opus dev-only ceiling on frozen UPChieve English/Social dev reached 0.5050 accuracy and 0.4258 macro F1 with 38.5% predicted REVIEW, far below the ModernBERT v2 selected 10% dev baseline of 0.5357 [20260315_002043_upchieve-llm-ceiling-anthropic-claude-4-6-opus-clean]
working	action	0.458671	discard	Cornell-gateway anthropic.claude-4.6-sonnet dev-only ceiling on frozen UPChieve English/Social dev reached 0.5600 accuracy and 0.4587 macro F1 with 32.0% predicted REVIEW; it required frequent repair retries and still stayed below the ModernBERT v2 selected 10% dev baseline of 0.5357 [20260315_002043_upchieve-llm-ceiling-anthropic-claude-4-6-sonnet-clean]
working	action	0.564287	discard	Cornell-gateway google.gemini-3.1-pro-preview dev-only ceiling on frozen UPChieve English/Social dev reached 0.7800 accuracy and 0.5643 macro F1 with 7.5% predicted REVIEW, improving over the other gateway LLM baselines but only +0.0286 above the ModernBERT v2 selected 10% dev baseline of 0.5357 [20260315_002029_upchieve-llm-ceiling-google-gemini-3-1-pro-preview-clean]
working	action	0.251180	discard	Local Qwen3.5-0.8B non-thinking on frozen UPChieve English/Social dev reached 0.3550 accuracy and 0.2512 macro F1 with 4.5% predicted REVIEW, far below the ModernBERT v2 selected 10% dev baseline of 0.5357 [20260315_015224_upchieve-local-open-qwen35-08b-nothink-dev-v5]
working	action	0.216501	discard	Local Qwen3.5-4B non-thinking on frozen UPChieve English/Social dev reached 0.2950 accuracy and 0.2165 macro F1 with 10.0% predicted REVIEW, underperforming both Qwen3.5-0.8B and the ModernBERT v2 selected 10% dev baseline of 0.5357 [20260315_015325_upchieve-local-open-qwen35-4b-nothink-dev]
working	action	0.447469	discard	Local Qwen3.5-9B non-thinking on frozen UPChieve English/Social dev reached 0.5950 accuracy and 0.4475 macro F1 with 4.0% predicted REVIEW, improving substantially over smaller Qwen3.5 checkpoints but still staying 0.0883 below the ModernBERT v2 selected 10% dev baseline of 0.5357 [20260315_020721_upchieve-local-open-qwen35-9b-nothink-dev]
working	action	0.530304	keep	ModernBERT-base seed 13 mixed-context v2 seeded cascade package completed with no-rules 10% macro F1 0.5303 and direct-id 10% macro F1 0.5303 [20260315_230719_upchieve-modernbert-v2-seed-suite-seed-13]
working	action	0.517572	keep	ModernBERT-base seed 42 mixed-context v2 seeded cascade package completed with no-rules 10% macro F1 0.5176 and direct-id 10% macro F1 0.5313 [20260315_214342_upchieve-modernbert-v2-seed-suite-seed-42]
working	action	0.572308	keep	ModernBERT-base seed 101 mixed-context v2 seeded cascade package completed with no-rules 10% macro F1 0.5723 and direct-id 10% macro F1 0.6218 [20260315_231508_upchieve-modernbert-v2-seed-suite-seed-101]
working	action	0.540061	keep	ModernBERT-base 3-seed mixed-context v2 seeded cascade aggregate completed with no-rules 10% macro F1 0.5401 ± 0.0286 and seed-42 anchor gap -0.0696 (reference only) [20260315_214342_upchieve-modernbert-v2-seed-suite]
working	action	0.526845	keep	roberta-base seed 13 mixed-context v2 seeded cascade package completed with no-rules 10% macro F1 0.5268 and direct-id 10% macro F1 0.5764 [20260315_232942_upchieve-roberta-base-v2-seed-suite-seed-13]
working	action	0.577562	keep	roberta-base seed 42 mixed-context v2 seeded cascade package completed with no-rules 10% macro F1 0.5776 and direct-id 10% macro F1 0.6105 [20260315_233551_upchieve-roberta-base-v2-seed-suite-seed-42]
working	action	0.550634	keep	roberta-base seed 101 mixed-context v2 seeded cascade package completed with no-rules 10% macro F1 0.5506 and direct-id 10% macro F1 0.5656 [20260315_234154_upchieve-roberta-base-v2-seed-suite-seed-101]
working	action	0.551680	keep	roberta-base 3-seed mixed-context v2 seeded cascade aggregate completed with no-rules 10% macro F1 0.5517 ± 0.0254 and seed-42 anchor gap +0.1685 (reference only) [20260315_232942_upchieve-roberta-base-v2-seed-suite]
working	action	0.580100	keep	distilroberta-base seed 13 mixed-context v2 seeded cascade package completed with no-rules 10% macro F1 0.5801 and direct-id 10% macro F1 0.5926 [20260315_234849_upchieve-distilroberta-base-v2-seed-suite-seed-13]
working	action	0.608054	keep	distilroberta-base seed 42 mixed-context v2 seeded cascade package completed with no-rules 10% macro F1 0.6081 and direct-id 10% macro F1 0.6394 [20260315_235256_upchieve-distilroberta-base-v2-seed-suite-seed-42]
working	action	0.584987	keep	distilroberta-base seed 101 mixed-context v2 seeded cascade package completed with no-rules 10% macro F1 0.5850 and direct-id 10% macro F1 0.6369 [20260315_235709_upchieve-distilroberta-base-v2-seed-suite-seed-101]
working	action	0.591047	keep	distilroberta-base 3-seed mixed-context v2 seeded cascade aggregate completed with no-rules 10% macro F1 0.5910 ± 0.0149 and seed-42 anchor gap +0.1372 (reference only) [20260315_234849_upchieve-distilroberta-base-v2-seed-suite]
working	eval	0.547440	keep	ModernBERT-base seed 13 deferral reevaluation completed with no-rules 10% macro F1 0.5474 and direct-id 10% macro F1 0.5474 [20260316_000713_upchieve-modernbert-v2-temp-reeval-seed-13]
working	eval	0.519412	keep	ModernBERT-base seed 42 deferral reevaluation completed with no-rules 10% macro F1 0.5194 and direct-id 10% macro F1 0.5332 [20260316_000718_upchieve-modernbert-v2-temp-reeval-seed-42]
working	eval	0.569261	keep	ModernBERT-base seed 101 deferral reevaluation completed with no-rules 10% macro F1 0.5693 and direct-id 10% macro F1 0.6186 [20260316_000723_upchieve-modernbert-v2-temp-reeval-seed-101]
working	eval	0.545371	keep	ModernBERT-base 3-seed deferral reevaluation completed with no-rules 10% macro F1 0.5454 ± 0.0250 and seed-42 anchor gap -0.0678 (reference only) [20260316_000713_upchieve-modernbert-v2-temp-reeval]
working	action	0.563290	keep	ModernBERT-base seed 13 mixed-context v2 seeded cascade package completed with no-rules 10% macro F1 0.5633 and direct-id 10% macro F1 0.6088 [20260316_002704_upchieve-modernbert-v2-seed-suite-seed-13]
working	action	0.615817	keep	ModernBERT-base seed 42 mixed-context v2 seeded cascade package completed with no-rules 10% macro F1 0.6158 and direct-id 10% macro F1 0.6314 [20260316_003740_upchieve-modernbert-v2-seed-suite-seed-42]
working	action	0.579638	keep	ModernBERT-base seed 101 mixed-context v2 seeded cascade package completed with no-rules 10% macro F1 0.5796 and direct-id 10% macro F1 0.6340 [20260316_004745_upchieve-modernbert-v2-seed-suite-seed-101]
working	action	0.586248	keep	ModernBERT-base 3-seed mixed-context v2 seeded cascade aggregate completed with no-rules 10% macro F1 0.5862 ± 0.0269 and seed-42 anchor gap +0.0286 (reference only) [20260316_002704_upchieve-modernbert-v2-seed-suite]
working	action	0.639550	keep	ModernBERT-base seed 13 mixed-context v2 seeded cascade package completed with no-rules 10% macro F1 0.6396 and direct-id 10% macro F1 0.7007 [20260316_014131_upchieve-modernbert-v2-branch-a-marked-turn-gc-seed-13]
working	action	0.717766	keep	ModernBERT-base seed 42 mixed-context v2 seeded cascade package completed with no-rules 10% macro F1 0.7178 and direct-id 10% macro F1 0.7178 [20260316_023414_upchieve-modernbert-v2-branch-a-marked-turn-gc-seed-42]
working	action	0.661468	keep	ModernBERT-base seed 101 mixed-context v2 seeded cascade package completed with no-rules 10% macro F1 0.6615 and direct-id 10% macro F1 0.7285 [20260316_025344_upchieve-modernbert-v2-branch-a-marked-turn-gc-seed-101]
working	action	0.672928	keep	ModernBERT-base 3-seed mixed-context v2 seeded cascade aggregate completed with no-rules 10% macro F1 0.6729 ± 0.0403 and seed-42 anchor gap +0.1306 (reference only) [20260316_014131_upchieve-modernbert-v2-branch-a-marked-turn-gc]
working	action	0.587664	discard	ModernBERT-base seed 13 marked-turn multitask plus balanced-sampler probe reached direct-id 10% macro F1 0.6181 but failed legacy math REDACT recall at 0.9639 [20260316_020927_upchieve-modernbert-v2-branch-b-multitask-gc]
working	action	0.669888	discard	ModernBERT-base seed 13 marked-turn balanced-sampler-only probe reached direct-id 10% macro F1 0.7329 but failed legacy math REDACT recall at 0.9699 [20260316_031733_upchieve-modernbert-v2-branch-d-sampler-only-gc]
